appid,name,missing_fields,source_appdetails,source_html_fallback
3089610,S.X.E. Slider: Dungeons,review_count,True,False
3436360,牛娘米露菲的淫欲陷阱調教～觸手×媚藥×拘束 絕頂榨取！～,"price_twd_original,release_date,review_count",True,False
4209100,Big Breasted Milky Mommies 4,review_count,True,False
4199470,Swimmer Admiration 2,"price_twd_original,review_count",True,False
4170450,Foxgirl Cassidy,"price_twd_original,review_count",True,False
4087580,Femdom Girlfriend 9: Yuki's Femdom Beatdown,review_count,True,False
3933630,My Hot Goth Roommate Became My Goonmate 2,review_count,True,False
4543360,The Office: Dirty Affairs,"price_twd_original,review_count",True,False
3962420,Futa Slug EX,"price_twd_original,review_count",True,False
3431060,迷霧深淵,"price_twd_original,release_date,review_count",True,False
4071460,Tentacle Locker 2,"price_twd_original,review_count",True,False
4429950,栩的人生已經沒救了！,"price_twd_original,review_count",True,False
2425720,Shards of the Past,"price_twd_original,review_count",True,False
2507830,Labyrinth of Lust,"price_twd_original,release_date,review_count",True,False
3680160,Vivid Days,"price_twd_original,release_date,review_count",True,False
3445640,The Edge Of - Definitive Edition,"price_twd_original,release_date,review_count",True,False
4199810,Werewolf Twins 👹,"price_twd_original,review_count",True,False
3951320,Sellsword Tales Prologue,"price_twd_original,review_count",True,False
2492620,Fattening Career,"price_twd_original,review_count",True,False
1590430,Snow Daze: Redaze,"price_twd_original,release_date,review_count",True,False
4522660,Futanari Mermaids,"price_twd_original,review_count",True,False
4133070,KINKY LIZARD!,"price_twd_original,review_count",True,False
4050270,The Blood Diary,"price_twd_original,review_count",True,False
1040260,Arouse,"price_twd_original,review_count",True,False
4108750,Marshallese Dominatrixes Are the Best,review_count,True,False
3222250,Nudist College,"price_twd_original,review_count",True,False
3391670,Secret Kinks,"price_twd_original,review_count",True,False
4595860,Double Life: Escort Secrets,"price_twd_original,review_count",True,False
3029550,Furry Empire ⚔️,"price_twd_original,release_date,review_count",True,False
3370210,New Antioch,"price_twd_original,review_count",True,False
3436280,魅惑萬花筒,"price_twd_original,release_date,review_count",True,False
3436320,魅魔都市·慾影追逐 ,"price_twd_original,review_count",True,False
4286950,The Perfect Paradise,"price_twd_original,review_count",True,False
3892630,Brothel Master,"price_twd_original,review_count",True,False
4395020,蛤蜊島編年史：慾望滋生之地,"price_twd_original,review_count",True,False
4057440,Tap 4 Sex 2,"price_twd_original,review_count",True,False
4395030,B-Prison Unchain,"price_twd_original,review_count",True,False
4293020,表妹的心動嬉戲,"price_twd_original,review_count",True,False
2227870,Akayo Therapy,"price_twd_original,review_count",True,False
4312360,Bram Stoker's Dracula,"price_twd_original,review_count",True,False
4029530,Crimson Quest,"price_twd_original,review_count",True,False
4535780,Love is Undead,"price_twd_original,review_count",True,False
1497740,Dating Advice from the Apocalypse,"price_twd_original,review_count",True,False
1528530,姐姐的秘密,"price_twd_original,release_date,review_count",True,False
2953140,Furry Fairy Tales,"price_twd_original,review_count",True,False
3509890,Westview Academy - Season 2,"price_twd_original,release_date,review_count",True,False
2528410,Price for Freedom: Gold and Sand,"price_twd_original,review_count",True,False
4442740,My Cuckqueen Girlfriend,"price_twd_original,release_date,review_count",True,False
3629970,Edgefield,"price_twd_original,review_count",True,False
3787390,Love or Lust Beach Stories,"price_twd_original,release_date,review_count",True,False
3426420,LUST CURSE 🔞,"price_twd_original,release_date,review_count",True,False
3468530,B.E.S.T 2,"price_twd_original,review_count",True,False
4260530,列車安全搜查官梨奈,"price_twd_original,review_count",True,False
4260540,聖天使克洛斯妮亞之心,"price_twd_original,review_count",True,False
3850200,Dominated by: Yandere Goth Lifeguard,review_count,True,False
1465030,清洗屋：帮助邻居人妻,"price_twd_original,review_count",True,False
1963440,Ijiaru Oneesann No Otsumami 2,review_count,True,False
2143500,"Hello, Fucking World!","price_twd_original,review_count",True,False
2595970,Hot Homework Help,"price_twd_original,review_count",True,False
4486840,Perfect Son-In-Law: Hidden S-Rank,"price_twd_original,release_date,review_count",True,False
4491210,FUTA FIGHT & FUCK 🥊,"price_twd_original,release_date,review_count",True,False
4356690,Space Babes: Busty Hentai Nympho SQUAD,"price_twd_original,review_count",True,False
3858480,忍法！~色色忍法帖~,"price_twd_original,review_count",True,False
4032770,Warrior of Lust,"price_twd_original,review_count",True,False
4213530,Fuck the Infected 🧟,"price_twd_original,review_count",True,False
4052610,Light-Space Love: New Horizons,"price_twd_original,review_count",True,False
4178570,Amber's Quest,"price_twd_original,review_count",True,False
4260270,與你流落荒島,"price_twd_original,review_count",True,False
3656530,Sex Hill,"price_twd_original,review_count",True,False
4170130,Venomous Dalliances 💚,"price_twd_original,review_count",True,False
4382950,Lustful Dreamers,"price_twd_original,review_count",True,False
4206090,MY KILLER HAREM,"price_twd_original,release_date,review_count",True,False
4291500,春日狂想曲：情竇初開的秘密,"price_twd_original,review_count",True,False
3141990,The Succubus Queen and the Holy Sword,"price_twd_original,release_date,review_count",True,False
4295190,The Velan Reach - Book One: An Unbroken Line,"price_twd_original,review_count",True,False
4315790,帥氣女子霸權都市,"price_twd_original,release_date,review_count",True,False
3023470,Devil Batch,"price_twd_original,review_count",True,False
3125090,FIGHTING GIRL YURI,"price_twd_original,release_date,review_count",True,False
3394720,Scarlett University,"price_twd_original,review_count",True,False
3419540,My Waifu - a Pornstar,"price_twd_original,review_count",True,False
3328350,Galactic Sex Odyssey: NSFW Sci-Fi Porn,"price_twd_original,review_count",True,False
3722160,Beyond the Edge,"price_twd_original,review_count",True,False
3823730,Just Date Goth,"price_twd_original,review_count",True,False
3611010,Ballad of Bullets,"price_twd_original,review_count",True,False
4170610,University Rush,"price_twd_original,review_count",True,False
4116260,In-Security,"price_twd_original,review_count",True,False
4443510,Pawn Pleasure,"price_twd_original,release_date,review_count",True,False
4442190,Lust Poker Club,"price_twd_original,review_count",True,False
4552380,說好只是打工， 為什麼大小姐都在撩我,"price_twd_original,review_count",True,False
4163150,SEX ORCgasm,"price_twd_original,review_count",True,False
4144250,Return of the Boogeyman 👻,"price_twd_original,review_count",True,False
2428490,Swimsuit Samurai,"price_twd_original,release_date,review_count",True,False
2474610,美尻を揺らし他の男と快楽を貪る淫ら妻 ～ごめんなさい、でもあなたのモノじゃ私満足出来ないの……～,review_count,True,False
3555970,My Bimbo Dream: Kingpin,"price_twd_original,release_date,review_count",True,False
4328680,朋友的巨乳媽媽全部都是我！,"price_twd_original,review_count",True,False
4234630,Ophi’s Quest Reign of Lust,"price_twd_original,review_count",True,False
3175460,Pixelate Must Die,"price_twd_original,release_date,review_count",True,False
2147770,Bride Corruption 💍,"price_twd_original,release_date,review_count",True,False
2843800,Whispers Of Sylvan Grove,"price_twd_original,release_date,review_count",True,False
2602070,VanimateApp,"price_twd_original,review_count",True,False
4346650,Zap & Andy: Go to HELL!,"price_twd_original,review_count",True,False
3877070,Midnight Sin,"price_twd_original,review_count",True,False
3708000,OnlyDefense,"price_twd_original,review_count",True,False
3436350,全裸審訊官,"price_twd_original,release_date,review_count",True,False
4212640,Naughty Nate : Tattoo,"price_twd_original,review_count",True,False
3832120,Femboy Survival,"price_twd_original,review_count",True,False
4491190,FRESHMAN: Project SEX 🔞,"price_twd_original,review_count",True,False
4587800,人妻魔女的禁忌關係,"price_twd_original,review_count",True,False
3436290,廢柴惡魔實況中,"price_twd_original,review_count",True,False
4157770,IT's for Adults 🤡,"price_twd_original,release_date,review_count",True,False
4013020,要不要和我女友開幹？,"price_twd_original,review_count",True,False
4542410,Fundoshinobi: The Naked Ninja,"price_twd_original,review_count",True,False
4355490,瑟瑟偶像退魔團 Sex-Pop Demon Hunters,"price_twd_original,review_count",True,False
3944630,My wife is a slutty agent,review_count,True,False
2898180,Porn Empire,"price_twd_original,review_count",True,False
2937940,無人島社員旅行記　～雌性間的生存戰爭～,"price_twd_original,review_count",True,False
4265410,純真少女的魔界冒險,"price_twd_original,release_date,review_count",True,False
4341260,WebCam: Behind The Screen,"price_twd_original,review_count",True,False
4562090,Slime Girl: Sticky Love,"price_twd_original,review_count",True,False
3842240,Vengeance Of The Minotaur RPG,"price_twd_original,release_date,review_count",True,False
4228690,黑金－閃耀鎮,"price_twd_original,review_count",True,False
1813840,Super Mega Hentai Collection!,"price_twd_original,review_count",True,False
3121930,Dimon - The Witch's Pervert Assistant,"price_twd_original,review_count",True,False
3698370,Knockout Master 2,"price_twd_original,review_count",True,False
3785660,Breeding Visa,"price_twd_original,review_count",True,False
3812340,Stella Magical Idol,"price_twd_original,review_count",True,False
4098600,Idle Harem Guild,"price_twd_original,review_count",True,False
2651480,黃衣之王：無盡性劇,"price_twd_original,review_count",True,False
4449260,Pussyhugger Penetration,"price_twd_original,review_count",True,False
2944560,A College of Thirst & Claws - Season 1,"price_twd_original,release_date,review_count",True,False
3436300,禁忌之書與魅惑迷宮,"price_twd_original,review_count",True,False
3436330,盒中少女,"price_twd_original,review_count",True,False
3997310,Forbidden Fantasy: Temptation,"price_twd_original,review_count",True,False
2890360,FutakinValley,"price_twd_original,review_count",True,False
2130800,九子x修菈,"price_twd_original,review_count",True,False
4625340,寝取らせ温泉旅行,"price_twd_original,review_count",True,False
3133500,Bimbo Blaster,"price_twd_original,review_count",True,False
4110220,404號房的情慾按摩,"price_twd_original,review_count",True,False
4294670,Aurora Protocol,"price_twd_original,release_date,review_count",True,False
3281210,Bath House Simulator,"price_twd_original,review_count",True,False
4479130,Reveal Ball Pit: Defeated by Tentacles,"price_twd_original,review_count",True,False
3677480,Once a Porn a Time 3,"price_twd_original,release_date,review_count",True,False
2232830,Indecent Wife Hana: Gravure,"price_twd_original,review_count",True,False
3001870,Boob Shaker,"price_twd_original,review_count",True,False
4370020,被黑手浸染的玫瑰与百合,"price_twd_original,review_count",True,False
3965590,Dane,"price_twd_original,review_count",True,False
4354170,ETERNAL ROMANCE Complete Edition Plus,"price_twd_original,review_count",True,False
4132170,Slime Girl Smoothies Encore!,"price_twd_original,review_count",True,False
4424720,Mansion University,"price_twd_original,review_count",True,False
3092250,Mirror World,"price_twd_original,review_count",True,False
1925000,貓妖孽緣,"price_twd_original,review_count",True,False
2131530,Lewd Guest NTR 🍓,"price_twd_original,review_count",True,False
